model_name,subset,n_train_images,test_auc,test_sensitivity,best_val_f1
resnet50_pretrained,1pct,784,0.6367222452595951,0.5512613041403605,0.6073586556958467
efficientnet_b0,1pct,784,0.667420555380514,0.5290813898138704,0.6258728392558374
mobilevit_xs,1pct,784,0.6261799098573673,0.49509757258401227,0.5842174247740193
simclr_resnet50,1pct,784,0.6437900487168609,0.5325083293664612,0.6102403826624865
mae_vits16,1pct,784,0.6463534179853037,0.5445026178005288,0.6122121622159559
resnet50_pretrained,5pct,3923,0.6798188384631125,0.5831508805325243,0.6352889093603753
efficientnet_b0,5pct,3923,0.6741166178412694,0.6256068538785096,0.6361924555065119
mobilevit_xs,5pct,3923,0.6502154646106051,0.5164207520223546,0.6141128171314759
simclr_resnet50,5pct,3923,0.6825202524044792,0.5907663017605037,0.636548781364271
mae_vits16,5pct,3923,0.6591532217260407,0.575154688243146,0.6215005638843959
resnet50_pretrained,10pct,7846,0.6888814083932437,0.5626844359823296,0.6379227397267104
efficientnet_b0,10pct,7846,0.685309844151375,0.5609709662060343,0.643421223128336
mobilevit_xs,10pct,7846,0.6579145386359088,0.5594478819604384,0.6270765479850695
simclr_resnet50,10pct,7846,0.6912625762507777,0.5953355544972914,0.6455326787155998
mae_vits16,10pct,7846,0.6645176189614284,0.5920990004754001,0.622279257785934
