model,model_label,corruption_type,severity_level,severity_value,macro_f1
resnet50_pretrained,ResNet50 (ImageNet),gaussian_noise,1,0.01,0.9305
resnet50_pretrained,ResNet50 (ImageNet),gaussian_noise,2,0.03,0.9238
resnet50_pretrained,ResNet50 (ImageNet),gaussian_noise,3,0.05,0.9088
resnet50_pretrained,ResNet50 (ImageNet),gaussian_noise,4,0.08,0.8379
resnet50_pretrained,ResNet50 (ImageNet),gaussian_noise,5,0.1,0.768
resnet50_pretrained,ResNet50 (ImageNet),gaussian_blur,1,0.5,0.8739
resnet50_pretrained,ResNet50 (ImageNet),gaussian_blur,2,1.0,0.5174
resnet50_pretrained,ResNet50 (ImageNet),gaussian_blur,3,1.5,0.4152
resnet50_pretrained,ResNet50 (ImageNet),gaussian_blur,4,2.0,0.3526
resnet50_pretrained,ResNet50 (ImageNet),gaussian_blur,5,2.5,0.2903
resnet50_scratch,ResNet50 (Scratch),gaussian_noise,1,0.01,0.8955
resnet50_scratch,ResNet50 (Scratch),gaussian_noise,2,0.03,0.8952
resnet50_scratch,ResNet50 (Scratch),gaussian_noise,3,0.05,0.8965
resnet50_scratch,ResNet50 (Scratch),gaussian_noise,4,0.08,0.8951
resnet50_scratch,ResNet50 (Scratch),gaussian_noise,5,0.1,0.8899
resnet50_scratch,ResNet50 (Scratch),gaussian_blur,1,0.5,0.8926
resnet50_scratch,ResNet50 (Scratch),gaussian_blur,2,1.0,0.8727
resnet50_scratch,ResNet50 (Scratch),gaussian_blur,3,1.5,0.812
resnet50_scratch,ResNet50 (Scratch),gaussian_blur,4,2.0,0.7255
resnet50_scratch,ResNet50 (Scratch),gaussian_blur,5,2.5,0.6282
efficientnet_b0,EfficientNet-B0,gaussian_noise,1,0.01,0.9489
efficientnet_b0,EfficientNet-B0,gaussian_noise,2,0.03,0.8554
efficientnet_b0,EfficientNet-B0,gaussian_noise,3,0.05,0.6538
efficientnet_b0,EfficientNet-B0,gaussian_noise,4,0.08,0.1253
efficientnet_b0,EfficientNet-B0,gaussian_noise,5,0.1,0.0725
efficientnet_b0,EfficientNet-B0,gaussian_blur,1,0.5,0.9316
efficientnet_b0,EfficientNet-B0,gaussian_blur,2,1.0,0.6728
efficientnet_b0,EfficientNet-B0,gaussian_blur,3,1.5,0.4535
efficientnet_b0,EfficientNet-B0,gaussian_blur,4,2.0,0.39
efficientnet_b0,EfficientNet-B0,gaussian_blur,5,2.5,0.4147
mobilevit_xs,MobileViT-XS,gaussian_noise,1,0.01,0.9336
mobilevit_xs,MobileViT-XS,gaussian_noise,2,0.03,0.9028
mobilevit_xs,MobileViT-XS,gaussian_noise,3,0.05,0.8442
mobilevit_xs,MobileViT-XS,gaussian_noise,4,0.08,0.7258
mobilevit_xs,MobileViT-XS,gaussian_noise,5,0.1,0.6362
mobilevit_xs,MobileViT-XS,gaussian_blur,1,0.5,0.8976
mobilevit_xs,MobileViT-XS,gaussian_blur,2,1.0,0.4157
mobilevit_xs,MobileViT-XS,gaussian_blur,3,1.5,0.3498
mobilevit_xs,MobileViT-XS,gaussian_blur,4,2.0,0.3387
mobilevit_xs,MobileViT-XS,gaussian_blur,5,2.5,0.3287
simclr_resnet50,SimCLR + ResNet50,gaussian_noise,1,0.01,0.9504
simclr_resnet50,SimCLR + ResNet50,gaussian_noise,2,0.03,0.9522
simclr_resnet50,SimCLR + ResNet50,gaussian_noise,3,0.05,0.9486
simclr_resnet50,SimCLR + ResNet50,gaussian_noise,4,0.08,0.9336
simclr_resnet50,SimCLR + ResNet50,gaussian_noise,5,0.1,0.9178
simclr_resnet50,SimCLR + ResNet50,gaussian_blur,1,0.5,0.9322
simclr_resnet50,SimCLR + ResNet50,gaussian_blur,2,1.0,0.5912
simclr_resnet50,SimCLR + ResNet50,gaussian_blur,3,1.5,0.4332
simclr_resnet50,SimCLR + ResNet50,gaussian_blur,4,2.0,0.3767
simclr_resnet50,SimCLR + ResNet50,gaussian_blur,5,2.5,0.3442
mae_vits16,MAE + ViT-S/16,gaussian_noise,1,0.01,0.8125
mae_vits16,MAE + ViT-S/16,gaussian_noise,2,0.03,0.8118
mae_vits16,MAE + ViT-S/16,gaussian_noise,3,0.05,0.8114
mae_vits16,MAE + ViT-S/16,gaussian_noise,4,0.08,0.812
mae_vits16,MAE + ViT-S/16,gaussian_noise,5,0.1,0.81
mae_vits16,MAE + ViT-S/16,gaussian_blur,1,0.5,0.8117
mae_vits16,MAE + ViT-S/16,gaussian_blur,2,1.0,0.8095
mae_vits16,MAE + ViT-S/16,gaussian_blur,3,1.5,0.7979
mae_vits16,MAE + ViT-S/16,gaussian_blur,4,2.0,0.7557
mae_vits16,MAE + ViT-S/16,gaussian_blur,5,2.5,0.687
