Comparison,F1_A,F1_B,Diff,CI_lo,CI_hi
Best SSL (MAE) vs ResNet50-IN @ 10pct,0.6248,0.8503,-0.2255,-0.2421,-0.2086
SimCLR vs ResNet50-IN @ 10pct,0.8495,0.8503,-0.0009,-0.0127,0.0105
Best SSL (MAE) vs ResNet50-Scratch @ 10pct,0.6248,0.7685,-0.1437,-0.1601,-0.1265
MobileViT vs ResNet50-IN @ 10pct,0.8353,0.8503,-0.015,-0.0269,-0.0033
Best SSL (MAE) vs ResNet50-IN @ 20pct,0.6972,0.8869,-0.1897,-0.2047,-0.1737
SimCLR vs ResNet50-IN @ 20pct,0.8628,0.8869,-0.0241,-0.0346,-0.0141
Best SSL (MAE) vs ResNet50-Scratch @ 20pct,0.6972,0.8187,-0.1215,-0.136,-0.1059
MobileViT vs ResNet50-IN @ 20pct,0.8584,0.8869,-0.0285,-0.0385,-0.0179
Best SSL (MAE) vs ResNet50-IN @ 100pct,0.8129,0.9337,-0.1208,-0.1351,-0.1074
SimCLR vs ResNet50-IN @ 100pct,0.9501,0.9337,0.0164,0.0082,0.0247
Best SSL (MAE) vs ResNet50-Scratch @ 100pct,0.8129,0.8961,-0.0832,-0.0954,-0.0705
MobileViT vs ResNet50-IN @ 100pct,0.9383,0.9337,0.0046,-0.0039,0.0131
