Model,Subset,Accuracy,Macro_F1,AUC_ROC,ECE
resnet50_pretrained,10pct,0.8489 ± 0.0084,0.8481 ± 0.0092,0.9755 ± 0.0003,0.0881 ± 0.0010
resnet50_pretrained,20pct,0.8793 ± 0.0091,0.8778 ± 0.0096,0.9817 ± 0.0013,0.0658 ± 0.0036
resnet50_pretrained,100pct,0.9502 ± 0.0116,0.9497 ± 0.0115,0.9952 ± 0.0013,0.0254 ± 0.0012
resnet50_scratch,10pct,0.7730 ± 0.0050,0.7671 ± 0.0060,0.9640 ± 0.0008,0.0554 ± 0.0068
resnet50_scratch,20pct,0.7762 ± 0.0648,0.7714 ± 0.0654,0.9612 ± 0.0192,0.0448 ± 0.0073
resnet50_scratch,100pct,0.8989 ± 0.0029,0.8979 ± 0.0029,0.9885 ± 0.0001,0.0210 ± 0.0023
efficientnet_b0,10pct,0.8321 ± 0.0037,0.8303 ± 0.0032,0.9725 ± 0.0008,0.0922 ± 0.0035
efficientnet_b0,20pct,0.8734 ± 0.0052,0.8722 ± 0.0054,0.9807 ± 0.0006,0.0717 ± 0.0049
efficientnet_b0,100pct,0.9486 ± 0.0049,0.9484 ± 0.0047,0.9960 ± 0.0005,0.0267 ± 0.0007
mobilevit_xs,10pct,0.8375 ± 0.0043,0.8348 ± 0.0044,0.9739 ± 0.0006,0.0807 ± 0.0107
mobilevit_xs,20pct,0.8611 ± 0.0076,0.8596 ± 0.0079,0.9807 ± 0.0003,0.0411 ± 0.0262
mobilevit_xs,100pct,0.9411 ± 0.0044,0.9408 ± 0.0044,0.9947 ± 0.0004,0.0284 ± 0.0022
